COUNTRY
,0,
random numb tingling in arms,5,
headache behind right eye,5,
chest pain left side,5,
am left face numbness feeling and left eye,5,
swelling on back,5,
right upper leg extremely painful,5,
nerve pain right hand,5,
facial tightness left side,5,
si joint pain right and left,5,
upper left abdominal pain,5,
lower left abdominal pain,5,
Frontal lobe seizures,5,
right hand pain,5,
left hand pain,5,
left wrist carpel tunnel,5,
R index finger pain,5,
Right cheek flushing,5,
tingly weakness left side,5,
right side pain,5,
migraine behind left eye,5,
Right & Left Hip Pain,5,
Right Wrist/Hand Pain,5,
Right Leg Pain,5,
lump in neck,5,
right forearm pain,5,
left forearm pain,5,
Left Lower Quadrant Abdominal Pain,5,
Left Upper Quadrant Abdominal Pain,5,
Left thigh pain,5,
lower back,5,
wrist Left,5,
PAINFUL SKIN RIGHT FOOT,5,
lower back Left,5,
swelling Painful Right Hand,5,
back pain middle,5,
arms,5,
sore right back,5,
Chest pressure,5,
left sided pains,5,
sharp pain left top head,5,
fused Left Wrist,5,
lower rib pain left side,5,
left facial numbness,5,
Stiffness of upper body,5,
Arm hand pain,5,
left anterior shoulder pain,5,
Left thumb pain,5,
left index finger and hand tendon pain,5,
sciatica left leg,5,
right side stomach pain,5,
right kidney pain,5,
Tremor Hand,5,
middle back pain,5,
sore right shoulder,5,
middle back,5,
left side abdominal pain,5,
left hand joint pain,5,
left hand fuzz,5,
sinus pain and pressure,5,
pain in lower back and hips,5,
Pain and swelling under left arm,5,
white fingers left hand,5,
hand tightness,5,
Left bruise,5,
Right bruise,5,
Left pulling,5,
Right pulling,5,
Left belly button,5,
Right under ribs,5,
Left under ribs,5,
right neck and shoulder pain,5,
sharp hand and wrist pain,5,
inner thigh strain,5,
stuffy head right side,5,
digit pain hands,5,
Headache on right side of the head,5,
swollen right lymph nodes,5,
left foot pain unusual,5,
Wrist right,5,
Unknown Pain on Right Side,5,
numbness left foot,5,
numbness in right foot,5,
burning pain in left foot,5,
Severe Left Sided Iliac Fossa Pain,5,
left temple migraine,5,
muscle weakness in right arm,5,
Back pain,6,
Chest pain,6,
Stomach Pain,6,
Face Pain,6,
Groin Pain,6,
Nerve pain,6,
Eye Pain,6,
Chronic Pain,6,
Chronic mid back pain,6,
Pain,6,
Myofascial pain syndrome,6,
pinching pain,6,
shooting pain,6,
Menstrual pain,6,
ovary pain,6,
Lymphedema,6,
Chronic Back pain,6,
Atypical chest pain,6,
Back pain at worst,6,
Arm pains,6,
Vulval pains,6,
hand pain,6,
Chronic pelvic pain,6,
Abdominal pains,6,
Urethra pains,6,
Chronic Neck Pain,6,
Wide spread pain,6,
ear pain,6,
Abdominal pain,6,
Breast pain,6,
other joint pain,6,
Lower back pain,6,
Anus pain,6,
Growing pains,6,
Brief acute abdominal pain,6,
Body pain,6,
Neuropathic pain,6,
Facial & Jaw pain,6,
allodynia,6,
Head Pain,6,
Finger pain,6,
Upper Back Pain,6,
Whiplash,6,
chronic abdominal pain,6,
Itch,6,
chronic foot pain,6,
Gastrointestinal pain,6,
Bone pain,6,
Generalized pain,6,
Facial pain,6,
Back spasm,6,
All over pain,6,
thoracic pain,6,
liver pain,6,
foot/ankle pain,6,
Low back pain,6,
Tummy pain,6,
Dental pain,6,
Period pain,6,
undiagnosed pain,6,
arm pain,6,
Pain lower stomach,6,
vague,6,
Spinal headaches,6,
Acute Period Pain,6,
lung pain,6,
Overall Pain,6,
chronic lower back pain,6,
back trigger pain,6,
cronic fatigue,6,
Gal Bladder Pain,6,
widespread pain,6,
skin pain,6,
shooting pain in ear,6,
Fibro Pain,6,
Nipple pain,6,
point tenderness,6,
Breakthrough pain,6,
chest tightness,6,
spinal pain,6,
Side pain,6,
chronic joint and muscle pain,6,
Functional Abdominal Pain,6,
Sinus pain,6,
pain behind eyes,6,
extreme fatigue,6,
hyperalgesia,6,
shoulder/neck pain,6,
pelvic pain,6,
specific pain,6,
Sharp Pains,6,
body pain and fatique,6,
chronic shoulder pain,6,
Visceral Hyperalgesia,6,
vaginal pain,6,
kidney pain,6,
spinal headache,6,
kidney back pain,6,
overall body aches,6,
flank pain,6,
burning pain in breasts,6,
menstral pain,6,
Chronic Lower Abdominal Pain,6,
gut pain,6,
visceral pain,6,
eye pain headache,6,
mid back pain,6,
general pain,6,
Chronic neck/shoulder pain,6,
very bad body aches and pains,6,
Head pains,6,
upper nerve pain,6,
lower nerve pain,6,
mouth pain,6,
polyneuropathic pain,6,
Jaw numbness & pain,6,
abdominal issues,6,
Flare pain,6,
bladder pain,6,
tib ant pain,6,
Cyclical Vomiting Sy,6,
sharp abdomen pain,6,
Calf pain,6,
Sciatica Lower Leg Pain,6,
External compression headaches,6,
Pain in feet,6,
stabbing pain in head,6,
Numbness in neck/Back,6,
Phantom pain,6,
Fingernail Pain,6,
chronic nerve pain,6,
lower abdomen pain,6,
ovulation pain,6,
eyes sharp pain,6,
generalised pain,6,
Widespread Joint Pain,6,
Widespread Muscle Pain,6,
lightning pain,6,
Pelvic Floor tightness,6,
Pancreatic/Biliary Pain,6,
tigger point pain,6,
trigger point pain,6,
pain in knuckles,6,
mild back pain,6,
Urethra pain,6,
myofascial pain,6,
pain level,6,
chest and shoulder pain,6,
bi-lateral sciatica,6,
EDS pain,6,
Neuropathic Itch,6,
head/neck pain,6,
never pain,6,
Temple pain,6,
pain everywhere,6,
c-spine pain,6,
global pain,6,
Intestinal pain,6,
severe abdominal pain,6,
pain all over,6,
scalp pain,6,
ride side abdominal pain,6,
entire body pain,6,
tailbone pain,6,
breast tenderness,6,
Radiating pain arms,6,
Achiness,6,
Wound discomfort,6,
mid-back pain,6,
nerve pain arms,6,
Generalized body pain,6,
severe joint pain,6,
Pain in hands,6,
severe pain,6,
teeth pain,6,
Atypical Facial Pain,6,
Back of neck pain,6,
general moderate pain,6,
rectal pain,6,
abdominal swelling,6,
Back/Neck Pain,6,
chronic leg pain,6,
pain,6,
Pain overall,6,
Chest infection,6,
Joint Tiredness,6,
headache from neck,6,
pelvis pain and sciatica,6,
abdomen pain,6,
Tooth pain,6,
digestive pain,6,
breathing pain,6,
Ingrowing Toenail Pain,6,
Chondrosternal pain,6,
chest shivering,6,
heel pain at night,6,
Endometriosis,7,
Bilateral Mastectomy,7,
Rectovaginal fistula,7,
Stomal Hernia,7,
Gallstones,7,
Hiatal hernia,7,
Esophageal hernia,7,
Rectocele,7,
Hemorrhoids,7,
Diverticulitis,7,
Anus bleeding,7,
Uterine fibroids,7,
Adenomyosis,7,
Intussusception,7,
Anal Bleeding,7,
rectal abscess,7,
Appendicitis,7,
Ureteral obstruction,7,
Anal fistula,7,
Varicocele,7,
Ileostomy,7,
Vaginal bleeding,7,
Rectal prolapse,7,
Prolapse,7,
Uterine prolapse,7,
hysterectomy,7,
colostomy bag,7,
Pelvic organ prolapse,7,
hernia,7,
Cystocele,7,
abdominal distention,7,
Umbilical hernia,7,
hernia pain,7,
Hydronephrosis,7,
endometriosis,7,
Urethral stricture,7,
uterine bleeding,7,
cecostomy,7,
Headache,8,
Nausea,8,
Dizziness,8,
Indigestion,8,
chills,8,
bloating,8,
Constipation,8,
Thirst,8,
Menstrual cramps,8,
pains,8,
Night sweats,8,
Lethargy,8,
Tiredness,8,
ache,8,
vertigo,8,
Arthralgia,8,
faintness,8,
Cramps,8,
Heartburn,8,
Cough headaches,8,
vomiting,8,
fainting,8,
post exertional malaise,8,
myalgia,8,
stomach cramps,8,
hot sweats,8,
Cramping,8,
sweating,8,
photophobia,8,
aches,8,
Malaise,8,
Itching,8,
backache,8,
Flatulence,8,
lightheadedness,8,
sweats,8,
Psychogenic Vomiting,8,
Myalgias,8,
nausea and vomiting,8,
breathlessness,8,
abdominal bloating,8,
profuse sweating,8,
severe cramping,8,
anorexia,8,
dysuria,8,
belching,8,
Odynophagia,8,
Impulsivity,9,
irritability,9,
mood swings,9,
social anxiety,9,
paranoia,9,
Suicide and suicidal thoughts,9,
Dysphoria,9,
Frustration,9,
anger,9,
anger outburst,9,
Suicidal,9,
fear,9,
Procrastination,9,
Emotional,9,
impulsive,9,
guilt,9,
Hopelessness,9,
delusions,9,
Morning sadness,9,
negative feelings,9,
Depression/anxiety,9,
Sadness,9,
Bad Mood,9,
hypervigilance,9,
hallucinations,9,
Suicidal ideation,9,
Self Harm Ideations,9,
anxious,9,
sad,9,
angry,9,
racing thoughts,9,
restlessness,9,
Anhedonia,9,
Fears,9,
nervousness,9,
anxiousness,9,
Suicidal thoughts,9,
Bicuspid Aortic Valve,10,
Aortic valve regurgitation,10,
Mitral valve prolapse,10,
Mitral valve regurgitation,10,
Mitral Valve Replacement,10,
Aortic valve stenosis,10,
tricuspid valve prolapse,10,
Aortic Stenosis,10,
Mitral valve disease,10,
Aortic valve disease,10,
Dilated Aortic Valve,10,
Complex regional pain syndrome,11,
Chronic fatigue syndrome,11,
Costochondritis,11,
adrenal fatigue,11,
Sphincter of Oddi Dysfunction,11,
Essential tremor,11,
Spastic lower body,11,
silent migraine,11,
Seizure,11,
New Daily Persistent Headache,11,
First degree hemorrhoids,11,
Dehydration,11,
Mitochondrial myopathy,11,
Chronic Regional Pain Syndrome,11,
chronic pain syndrome,11,
Post Concussion Syndrome,11,
Post Traumatic Stress Disorder,11,
Unspecified Myopathy,11,
Absence seizure,11,
Complex partial seizures,11,
Lipedema,11,
Paraneoplastic syndromes of the nervous system,11,
ovulatory dysfunction,11,
Palindromic Rheumatism,11,
Coccydynia,11,
Failed Back Syndrome,11,
Grand mal seizure,11,
Colin Spasms,11,
Partial seizures,11,
Complex partial seizure,11,
Erectile dysfunction,11,
Juvenile fibromyalgia,11,
Tracheobronchomalacia,11,
Mild,11,
flu like symptoms,11,
Autonomic Dysfunction,11,
post concussive syndrome,11,
chronic stress,11,
Bladder/ urethral symptoms,11,
Systemic Exertional Intolerance Disease,11,
Familial Mediterranean fever,11,
fibromyalgia flair up,11,
complex migraines,11,
Sick sinus syndrome,11,
Chronic Pain and Exhaustion,11,
Pediatric GERD,11,
nervous system dysfunction,11,
Cronic Fatigue Syndrome,11,
post cholestyramine syndrome,11,
central pain syndrom,11,
Daily Chronic Stomach Migraines,11,
amplified musculoskeletal pain syndrome,11,
gastrointestinal problems,11,
Pelvic Congestion Syndrome,11,
Pseudo dementia,11,
functional bowel disorder,11,
severe chronic complex migraine,11,
pelvic floor tension syndrome,11,
Petit mal seizure,11,
sicca complex,11,
Delayed Sleep Phase Syndrome,11,
Essential thrombocythemia,11,
Autoimmune Autonomic Gang,11,
functional dyspepsia,11,
Vasoconstrictive disorder of extremities,11,
Progressive Encephalomyelitis with Rigidity and Myoclonus,11,
opiod induced constipation,11,
IBS with constipation,11,
simple partial seizures,11,
Amplified Pain Syndrome,11,
Undifferentiated Connective Tissue Disorder,11,
Central Nervous System Vasculitis,11,
pelvic dysfunction,11,
Normokalemic Periodic Paralysis,11,
possible gastroparesis,11,
Retinal Migraine,11,
pure autonomic failure,11,
sudomotor dysfunction,11,
pots dysautonomia,11,
Chronic UTI,11,
brain fatigue,11,
Topical Steroid Withdrawal,11,
Cervical dystonia,11,
Functional Gastrointestinal Dysmotility Disorder,11,
Central Pain Syndrome,11,
Chronic Fatique,11,
Fetal alcohol syndrome,11,
Undiagnosed Stomach Illness,11,
periodic fever syndrome,11,
Chronic exertional compartment syndrome,11,
temporal lobe epilepsy,11,
benign positional vertigo,11,
post viral fatigue,11,
complex post traumatic stress disorder,11,
Severe Acid Reflux,11,
Hypersensitive nerve disorder,11,
intersection syndrome,11,
vomitting,11,
spastic bladder,11,
Periodic Paralysis,11,
Post Finasteride Syndrome,11,
Alopecia Areata / Auto Immune Disease,11,
Central Sensitization Syndrome,11,
esophogeal spasm,11,
Overall Symptoms,11,
chronic pain all over,11,
chronic multisymptom illness,11,
red ear syndrome,11,
general inflammation,11,
chronic prostatis,11,
cyclic neutropenia,11,
painful bladder syndrome,11,
chronic yeast,11,
arthritis in back,11,
Severe & Progressing Weakness,11,
Failed Back Surgery Syndrome,11,
Focal Seizures,11,
slow transit constipation,11,
primary progressive multiple sclerosis,11,
Tremor Bein,11,
red skin syndrome,11,
primary hypothyroidism,11,
stress induced seizures,11,
hyper mobility syndrome,11,
Exercise Induced Anaphylaxis,11,
Chronic Adrenal Fatigue,11,
Autoimmune Hearing Loss,11,
upper respiratory illness,11,
gynae symptoms,11,
Acute MS Fatique,11,
moderate,11,
chronic swelling of eyes,11,
neurological bladder disfunction,11,
sweet syndrome,11,
Complicated Migraine,11,
essential tremors,11,
chronic fatigue syndrome,11,
severe ibs,11,
Extreme Anemia,11,
low grade fever,11,
chronic widespread pain,11,
fibro symptoms,11,
Serotonin syndrome,11,
Connective tissue disorder,11,
Heavy Bleeding,11,
glaucoma suspect,11,
Acute stress,11,
neurological sensitivity,11,
Ovarian cysts,12,
Breast cancer,12,
Neurogenic Bladder,12,
Enlarged Prostate,12,
Neural Intestinal Dysplasia,12,
Colonic Inertia,12,
Skin cancer,12,
Spastic Colon,12,
Cancer,12,
Swollen lymph nodes,12,
stomach issues,12,
underactive thyroid,12,
Colon polyps,12,
Cervical Instability,12,
Vulvar Vestibulitis,12,
Stomach problems,12,
Bone metastasis,12,
stomach gurgle,12,
Exocrine pancreatic insufficiency,12,
Thyroid cancer,12,
brca carcinoma,12,
Fungal rash under breast,12,
Brain tumor,12,
aggressiveness,12,
delayed gastric motility,12,
exocrine pancreatic dysfunction,12,
Incompetent cervix,12,
Nonmelanoma skin cancer,12,
underdeveloped lung,12,
Mouth cancer,12,
tonsil stones,12,
Intrapapillary Mucinous Tumour,12,
bladder issues,12,
ovarian cyst pain,12,
Lung cancer,12,
major stomach issues,12,
Recurrent breast cancer,12,
fatty pancreas,12,
Islet cell cancer,12,
Vulvar cancer,12,
Double uterus,12,
weak bladder,12,
unidentified lung issues,12,
Prostate cancer,12,
Head and neck cancers,12,
Merkel cell carcinoma,12,
Pituitary tumors,12,
tender lymph nodes,12,
Basal cell carcinoma,12,
Ovarian cancer,12,
adrenal issues,12,
stomach acid,12,
Enlarged spleen,12,
Slow Transit Colon,12,
Glands Up,12,
Pediatric brain tumors,12,
Breast cysts,12,
Testicular torsion,12,
Bone cancer,12,
colon cancer survivor,12,
Hairy cell leukemia,12,
Kidney cancer,12,
sick stomach,12,
Adrenal conditions,12,
Inflammed bladder,12,
medullary sponge kidney,12,
Neuroblastoma,12,
pancreatic atrophy,12,
Fibrocystic Breast Disease,12,
hodgkins lymphoma,12,
dysfunctional uterine bleeding,12,
Endometrial cancer,12,
Lung issues,12,
Gastric Wind,12,
cervical curve,12,
lung nodules (,12,
low thyroid,12,
Stomach problem,12,
Lyme disease,13,
Celiac disease,13,
Systemic Scleroderma,13,
Celiac Sprue,13,
Multiple sclerosis,13,
Systemic mastocytosis,13,
Myalgic encephalomyelitis,13,
Autoimmune,13,
Inflammation,13,
Chronic illness,13,
neuro sarcoidosis,13,
systemic sclerosis,13,
Discogenic Disease,13,
Gout,13,
Autoimmune pancreatitis,13,
Autoinflammatory,13,
autoimmune stomatits,13,
Infectious diseases,13,
Autoimmune hepatitis,13,
Autoimmune disease,13,
Coeliac Disase,13,
Chronic inflammation,13,
coeliac,13,
Autoimmune illness,13,
chronic inflammatory response syndrome,13,
Seronegative polyarthropathy,13,
Autoimmune Gastritis,13,
Coeliac Disease,13,
autoimmune thyroiditis,13,
Inflammatory Autoimmune Disorder,13,
systemic juvenille idiopathic arthritis,13,
autoinflammatory disease,13,
thyroiditis,13,
Chronic Lyme,13,
crohn,13,
autoimmune disorder,13,
chronic,13,
chronic lyme disease,13,
chronic inflammatory demylinating polyneuropathy,13,
Auto-immune Disease,13,
autoimmun diseases,13,
systematic lupus,13,
Chronic granulomatous disease,13,
Flares,13,
Autoimmune Inner Ear Disease,13,
autoimmune hemolytic anemia,13,
Autoimmune Disease Unknown,13,
autoimmune encephalitis,13,
autoimmune issues,13,
Inflammatory arthritis and lupus overlap,13,
Periodontal Disease,13,
plaque psoriasis,13,
limited scleroderma,13,
Periodontitis,13,
thyroditis,13,
Rheumatoid condition unknown,13,
autoimmune atrophic gastritis,13,
burning skin,14,
Dry eyes,14,
itchy skin,14,
Dry mouth,14,
skin rashes,14,
Dry skin,14,
mouth ulcers,14,
Heat rash,14,
Flare,14,
Skin Picking,14,
nose sores,14,
vaginal sores,14,
nose bleeds,14,
dry eyes,14,
genital sores,14,
Oral sores,14,
Biting,14,
sweat,14,
Hives and angioedema,14,
Fibro fog,14,
Nose Bleed,14,
chronic hives and rashes,14,
Hand rash,14,
Diaper rash,14,
arm rash,14,
itchy bumps,14,
mouth sores,14,
Burning eyes,14,
swelling,14,
butterfly rash,14,
Flaky skin on face,14,
Eye floaters,14,
nasal congestion,14,
Post Nasal Drip,14,
picking skin around nails,14,
eye bulging,14,
skin rash - neck,14,
vaginal itch,14,
Burning mouth syndrome,14,
chronic dry eyes,14,
severe eye dryness,14,
skin sensitvity,14,
Perioral Derm,14,
itchy eyes,14,
Dry nose,14,
itching and painful nipples,14,
itching skin,14,
eye twitching,14,
skin irritation and swellings,14,
ears ringing,14,
Ear Ringing,14,
burning scalp,14,
itchy scalp,14,
spotty skin,14,
Boils and carbuncles,14,
pelvic congestion s,14,
Ice cream headaches,14,
Blood Tinged Sputum,14,
skin redness,14,
Vaginal dryness,14,
SKIN LESIONS,14,
coughing up smelly mucus,14,
Hives,14,
itchy face,14,
DRY BURNING EYES,14,
yeast itching,14,
tender skin,14,
hand burning,14,
fever blister,14,
Oral thrush,14,
Soft tissue rheumatism,14,
dry skin face,14,
dry skin hand,14,
eruptive vellus hair cysts,14,
skin flare up,14,
blocked nose,14,
Systemic Dryness,14,
redness of face,14,
Nail fungus,14,
bleeding gums,14,
irregular bleeding,14,
Spider bites,14,
oily skin,14,
Scalp sores,14,
face rash,14,
crawling skin,14,
Red watery eyes,14,
Face Flare,14,
ooze,14,
gritty eyes,14,
bloody nose after i sneezed,14,
nipple discharge,14,
Morning Hives,14,
Burning uterus,14,
itchy ears,14,
Ingrown toenails,14,
Facial swelling,14,
nose flare,14,
Facial Flushing,14,
voice and throat swelling,14,
eye irritation,14,
oozing,14,
tingling teeth and tongue,14,
Cornea abrasion flare up,14,
loose stool,14,
nose skin hard,14,
nose skin soft,14,
Formication,14,
dry hands,14,
pulsating eyes,14,
Eye redness,14,
Mycoplasma pneumoniae,15,
Babesia,15,
Candida Overgrowth,15,
Candida,15,
mycoplasma,15,
Staph infections,15,
Possible Tularemia,15,
Tularemia,15,
Babesiosis,15,
Anthrax,15,
Parasitosis,15,
Acanthamoeba Keratitis,15,
H. pylori infection,15,
Roseola,15,
Mosquito bites,15,
Chlamydia,15,
Brucellosis,15,
lyme,15,
Cholera,15,
Tuberculosis,15,
Sexually transmitted diseases,15,
Mold Poisoning,15,
h pylori,15,
ACNES,15,
B. Burgdorferi Osp B,15,
Borrelia recurrentis,15,
Ehrlichiosis,15,
Calves,15,
C. difficile,15,
Systemic Candida,15,
ciguatera,15,
pseudomonas colonisation,15,
mycoplasma pneumonia,15,
MRSA infection,15,
Diphtheria,15,
anaplasmosis,15,
Ulcerative colitis,16,
Anemia,16,
Bronchiectasis,16,
Interstitial cystitis,16,
Primary sclerosing cholangitis,16,
