COUNTRY
,0,
Bells Palsy,8,
spinal hemangioma,8,
bilateral vestibular hypofunction,8,
Cerebellar Ectopia,8,
nerve sensitivity,8,
Head Injury,8,
sensory overload,8,
burning skin,9,
Dry mouth,9,
Burning eyes,9,
Burning,9,
feet burning,9,
Burning mouth syndrome,9,
Dry nose,9,
burning scalp,9,
burning sensation,9,
burning pain,9,
DRY BURNING EYES,9,
burning lips,9,
burning leg,9,
burning feet,9,
Dry cough,9,
Burning uterus,9,
burning hands,9,
Joint Burning,9,
dry hands,9,
Irritable bowel syndrome,10,
Post-concussion syndrome,10,
Chronic fatigue syndrome,10,
Hyperadrenergic Dysautonomia,10,
Polycystic ovary syndrome,10,
Carpal tunnel syndrome,10,
Tourette syndrome,10,
CREST syndrome,10,
Chronic Regional Pain Syndrome,10,
chronic pain syndrome,10,
Post Concussion Syndrome,10,
tension myositis syndrome,10,
Cushing syndrome,10,
Long QT syndrome,10,
Hypermobility syndrome,10,
Cubital tunnel syndrome,10,
Stickler syndrome,10,
Failed Back Syndrome,10,
Antiphospholipid syndrome,10,
Marfan syndrome,10,
Dumping syndrome,10,
post concussive syndrome,10,
Antisynthetase Syndrome,10,
Hypermobile joint syndrome,10,
Sick sinus syndrome,10,
Cronic Fatigue Syndrome,10,
post cholestyramine syndrome,10,
chilaiditi Syndrome,10,
Opsoclonus Myoclonus Syndrome,10,
Broken heart syndrome,10,
Metabolic syndrome,10,
Pelvic Congestion Syndrome,10,
sicca complex,10,
Lynch syndrome,10,
Cauda Equina Syndrome,10,
Cramp Fasciculation Syndrome,10,
Amplified Pain Syndrome,10,
nutcracker syndrome,10,
Restless Leg Syndrome,10,
sapho syndrome,10,
Central Pain Syndrome,10,
Fetal alcohol syndrome,10,
periodic fever syndrome,10,
Chronic exertional compartment syndrome,10,
benign fasciculation syndrome,10,
Piriformis Syndrome,10,
vater syndrome,10,
intersection syndrome,10,
Central Sensitization Syndrome,10,
red ear syndrome,10,
painful bladder syndrome,10,
Yao Syndrome,10,
red skin syndrome,10,
hyper mobility syndrome,10,
Fatigue syndrome,10,
Rumination syndrome,10,
tfl syndrome,10,
sweet syndrome,10,
chronic fatigue syndrome,10,
sicca syndrome,10,
Serotonin syndrome,10,
Endometriosis,11,
Bilateral Mastectomy,11,
Rectocele,11,
Uterine fibroids,11,
Adenomyosis,11,
Menorrhagia,11,
Varicocele,11,
Vaginal bleeding,11,
Rectal prolapse,11,
Prolapse,11,
Uterine prolapse,11,
hysterectomy,11,
Pelvic organ prolapse,11,
Cystocele,11,
endometriosis,11,
uterine bleeding,11,
Sprained ankle,12,
shoulder,12,
Shin splints,12,
feet ankle swell,12,
Knees,12,
Tennis elbow,12,
Ankle Swelling,12,
Dislocated shoulder,12,
wrist and elbow pain,12,
Ulnar wrist pain,12,
peeling elbows,12,
Sprained Wrist,12,
wrists,12,
subluxation - elbow,12,
swollen knee,12,
shoulder elbow wrist hand finger pain,12,
wrist stiffness,12,
Scapular Winging,12,
dislocating hips,12,
winging scapula,12,
knee swelling,12,
elbow,12,
Knee Hyperextension,12,
hand wrist elbow pain,12,
tingling hands,13,
numbness,13,
tingling feet,13,
Tingling in Feet,13,
Thumb tingling,13,
Tingling,13,
Paresthesia,13,
tingling back,13,
tingling knee,13,
numbness hands,13,
numbness feet,13,
upper back tingling,13,
numbness fingers,13,
tingling legs,13,
Feet Tingling,13,
Toe tingling pain,13,
left thumb tingling pain,13,
Aching limbs,13,
tingling face,13,
aching legs,13,
soreness,13,
leg tingling,13,
face numbness,13,
tongue numbness,13,
Tingling left leg,13,
Leg numbness,13,
tingling in hands,13,
numbness and tingling,13,
body tingling,13,
Aching Hands,13,
tingling tongue,13,
Oral Allergy Syndrome,14,
Allergies,14,
Seasonal Allergies,14,
Food Intolerances,14,
Food allergy,14,
Pet allergy,14,
Soy allergy,14,
Sun allergy,14,
Cat allergy,14,
Mold allergy,14,
Nickel allergy,14,
Latex allergy,14,
Wheat allergy,14,
perfume allergy,14,
Anaphylaxis,14,
Dust mite allergy,14,
Drug allergy,14,
Milk allergy,14,
Dairy allergy,14,
Sulfa Allergy,14,
Augmentin allergy,14,
Shellfish allergy,14,
Peanut allergy,14,
Pollen Allergy,14,
Egg allergy,14,
Oral allergy syndrom,14,
Extreme allergies,14,
Food poisoning,14,
Bee Allergy,14,
Food allergies,14,
alcohol consumption,14,
allergy,14,
morning allergies,14,
ginger allergy,14,
tuna allergy,14,
cephalosporin allergy,14,
Penicillin allergy,14,
Muscle pain,15,
Muscle weakness,15,
Stiffness,15,
Muscle Spasm,15,
Muscle cramp,15,
Weakness,15,
Muscle spasms,15,
muscle tension,15,
back muscle,15,
Back Muscle aches,15,
stomach twitch,15,
muscle twitching,15,
muscle soreness,15,
muscle stiffness,15,
torn muscle,15,
leg muscle spasms,15,
Arm Weakness,15,
Leg Weakness,15,
stretching,15,
muscle tightness,15,
Muscle Cramps,15,
muscle spasms - ear,15,
leg neuropathy,15,
muscle jerks,15,
muscle pain legs,15,
body spasms,15,
facial twitch,15,
Stiff muscles,15,
body weakness,15,
muscle pain leg,15,
muscle heaviness,15,
upper back muscle spasm,15,
R Leg Weakness,15,
sever muscle weakness,15,
seronegative spondyloarthropathy,16,
Seronegative polyarthropathy,16,
Chlamydia,16,
Rectovaginal fistula,17,
Stomal Hernia,17,
Gallstones,17,
Hiatal hernia,17,
Esophageal hernia,17,
Hemorrhoids,17,
Diverticulitis,17,
Intussusception,17,
rectal abscess,17,
Appendicitis,17,
Ureteral obstruction,17,
Anal fistula,17,
Pilonidal cyst,17,
Ileostomy,17,
colostomy bag,17,
hernia,17,
Umbilical hernia,17,
hernia pain,17,
Urethral stricture,17,
cecostomy,17,
Arteriovenous fistula,17,
POTS,18,
brain fog,18,
Common cold,18,
Dehydration,18,
Hot flashes,18,
Cold,18,
Cutting,18,
Bags under eyes,18,
PANS,18,
temperature regulation,18,
cold agglutinins,18,
Spotting,18,
Agitation,18,
Gasping for air,18,
electric shock feeling,18,
medium,18,
dry eyes medium,18,
cold feet,18,
flash backs,18,
Cold Agglutinin,18,
low temp,18,
Cold hands,18,
Ice cream headaches,18,
dark period,18,
shaking hands,18,
pots dysautonomia,18,
dark circles under eyes,18,
air hunger,18,
Cloudy focus,18,
body temperature,18,
wind,18,
shaking,18,
temperature,18,
agitated,18,
Dark Triad,18,
light headed,18,
temperature body,18,
extreme dryness body,18,
Cold Extremeties,18,
flu and cold,18,
desiccated discs,18,
Hot flushes,18,
Night mares,18,
head heat,18,
Sinus headaches,19,
Thoracic outlet syndrome,19,
inappropriate sinus tachycardia,19,
csf leak,19,
Deep vein thrombosis,19,
Pericardial effusion,19,
Varicose veins,19,
peripheral venous insufficiency,19,
sinus drainage,19,
Sinus,19,
Eustachian tube dysfunction,19,
congestion,19,
nasal congestion,19,
Sinus Infection,19,
intracranial pressure,19,
Sinus pain,19,
sinus pressure,19,
Cerebral venous sinus thrombosis,19,
pelvic congestion s,19,
chest congestion,19,
Chest pressure,19,
Atrioventricular canal defect,19,
esophogeal spasm,19,
nasal drainage,19,
LES spasm,19,
sinus allergy,19,
vein bulging,19,
SVC obstruction,19,
sinus pain and pressure,19,
sinus headache,19,
Chest infection,19,
Sinus Drip,19,
Lyme disease,20,
Celiac disease,20,
Celiac Sprue,20,
Multiple sclerosis,20,
Degenerative Disc Disease,20,
Chronic illness,20,
Flare,20,
neuro sarcoidosis,20,
Chronic kidney disease,20,
Mitochondrial Disease,20,
Discogenic Disease,20,
Unspecified Myopathy,20,
Gout,20,
Autoimmune pancreatitis,20,
autoimmune stomatits,20,
Infectious diseases,20,
Autoimmune hepatitis,20,
Pompe Disease,20,
genetic disease,20,
Autoimmune disease,20,
Coeliac Disase,20,
Chronic inflammation,20,
coeliac,20,
Autoimmune illness,20,
Chrons disease,20,
chronic inflammatory response syndrome,20,
Systemic Exertional Intolerance Disease,20,
Chronic Idiopathic Neuropathy,20,
Coeliac Disease,20,
Inflammatory Autoimmune Disorder,20,
systemic juvenille idiopathic arthritis,20,
autoinflammatory disease,20,
Fabry Disease,20,
Autoimmune Autonomic Gang,20,
Arteriosclerosis / atherosclerosis,20,
Chronic Lyme,20,
cushings disease,20,
stills disease,20,
degenerative disk disease,20,
Late Stage Lyme Disease,20,
crohn,20,
chronic,20,
autoimune disease,20,
Autoimmune Autonomic Neuropathy,20,
Inflammatory Neuropathy,20,
Sexually transmitted diseases,20,
chronic lyme disease,20,
parkinson,20,
Graves disease,20,
chronic inflammatory demylinating polyneuropathy,20,
Auto-immune Disease,20,
autoimmun diseases,20,
Alopecia Areata / Auto Immune Disease,20,
Chronic granulomatous disease,20,
Hemophilia,20,
Flares,20,
chronic multisymptom illness,20,
Autoimmune Inner Ear Disease,20,
idiopathic anaphylaxis,20,
Autoimmune Disease Unknown,20,
autoimmune encephalitis,20,
primary progressive multiple sclerosis,20,
autoimmune issues,20,
Inflammatory arthritis and lupus overlap,20,
Retinal diseases,20,
Periodontal Disease,20,
Autoimmune Hearing Loss,20,
plaque psoriasis,20,
limited scleroderma,20,
thyroditis,20,
Rheumatoid condition unknown,20,
Cold sore,21,
Strep throat,21,
sore neck,21,
Canker sore,21,
Sore joints,21,
Sore throat,21,
Coughing,21,
runny nose,21,
Itchy throat,21,
cough,21,
Sore back,21,
sore teeth,21,
stuffy nose,21,
sore muscles,21,
barking cough,21,
throat tightness,21,
skin sore,21,
Sore Nipples,21,
Nose sore,21,
Mouth sore,21,
sneezing,21,
sore boobs,21,
sore ankles,21,
earache,21,
stuffiness,21,
throat spasms,21,
phlegm,21,
Sore shoulders,21,
Sore hands,21,
sore heels,21,
sore eyes,21,
sore ears,21,
Sore Larynx,21,
Chronic sinusitis,22,
Bronchiectasis,22,
Acute sinusitis,22,
Interstitial cystitis,22,
Cystitis,22,
Tonsillitis,22,
Pleurisy,22,
Pneumonia,22,
Atelectasis,22,
Pneumonitis,22,
Sinusitis,22,
Cellulitis,22,
Eosinophilic Gastroenteritis,22,
Recurrent cellulitis,22,
Sepsis,22,
Chronic eosinophilic pneumonia,22,
Intersitial Cystitis,22,
Pericarditis,22,
pulmonary sarcoidosis,22,
chronic pericarditis,22,
recurrent sinusitis,22,
Hemorrhagic Interstitial Cystitis,22,
Bronchiolitis,22,
Osteomyelitis,22,
pyelonephritis,22,
Breast cancer,23,
Skin cancer,23,
Cancer,23,
Thyroid cancer,23,
brca carcinoma,23,
Nonmelanoma skin cancer,23,
Lung cancer,23,
Recurrent breast cancer,23,
Islet cell cancer,23,
Vulvar cancer,23,
Prostate cancer,23,
Merkel cell carcinoma,23,
Ovarian cancer,23,
Bone cancer,23,
colon cancer survivor,23,
Kidney cancer,23,
Neuroblastoma,23,
Fibrocystic Breast Disease,23,
Endometrial cancer,23,
spondyloarthropathy,24,
Ankylosing spondylitis,24,
Sacroiliitis,24,
Enthesitis,24,
spondylitis,24,
Insomnia,25,
Fatigue,25,
irritability,25,
Thirst,25,
Hunger,25,
hypersomnia,25,
Hypersomnolence,25,
Tiredness,25,
morning tiredness,25,
Bruxism,25,
sleepiness,25,
Shakiness,25,
Sleeplessness,25,
Anorgasmia,25,
Disorientation,25,
overeating,25,
Snoring,25,
Libido,25,
restless sleep,25,
restlessness,25,
hangover,25,
Sleepwalking,25,
Appetite,25,
nervousness,25,
flushes,25,
Nocturia,25,
Mycoplasma pneumoniae,26,
Babesia,26,
Candida Overgrowth,26,
Candida,26,
mycoplasma,26,
Staph infections,26,
CPS,26,
Possible Tularemia,26,
Anthrax,26,
Parasitosis,26,
Acanthamoeba Keratitis,26,
H. pylori infection,26,
Roseola,26,
Cholera,26,
Tuberculosis,26,
h pylori,26,
ACNES,26,
B. Burgdorferi Osp B,26,
Borrelia recurrentis,26,
Calves,26,
C. difficile,26,
Systemic Candida,26,
pseudomonas colonisation,26,
mycoplasma pneumonia,26,
Diphtheria,26,
E. coli,26,
ME,27,
started yesterday,27,
Felt like hell,27,
ME CFS,27,
Severe ME,27,
mystery stuff,27,
ok,27,
feel,27,
Migraine,28,
Chronic Migraines,28,
Fibromyalgia,28,
Headaches,28,
Idiopathic hypersomnia,28,
Narcolepsy,28,
Chronic constipation,28,
fibromyalgia,28,
Migraine with aura,28,
Dysmenorrhoea,28,
Anorexia nervosa,28,
hemiplegic migraine,28,
Chronic Headache,28,
Migraine headache,28,
Dysmenorrhea,28,
Ocular migraine,28,
Irritable,28,
Migraine Associated Vertigo,28,
Chronic headaches,28,
chronic migraine,28,
Intractable migraine,28,
Cataplexy,28,
Hemicrania continua,28,
abdominal migraine,28,
Recurrent Hypersomnia,28,
Dyspepsia,28,
migraine,28,
Debilitating Migraine,28,
Vestibular migraines,28,
vestibular migraine,28,
Aura,28,
Cervicogenic Headaches,28,
idiopathic stabbing migraine,28,
migraine aura,28,
vertiginous migraine,28,
Complicated Migraine,28,
migraines,28,
Biting,29,
PANDAS,29,
Hives and angioedema,29,
fogging,29,
Rocky Mountain spotted fever,29,
Mosquito bites,29,
Heavy Metals Poisoning,29,
Mold Poisoning,29,
Hives,29,
Domestic Chores,29,
ciguatera,29,
Spider bites,29,
Morning Hives,29,
poison ivy,29,
splenomegaly,30,
jaundice,30,
Hydronephrosis,30,
Lumbar Spinal Pain,31,
spondylolisthesis,31,
radiculopathy,31,
Cervical spondylosis,31,
lumbar spondylosis,31,
lumbosacral spondylosis,31,
spondylosis,31,
Lumbar Radiculitis,31,
cervical myelopathy,31,
lumbar spine pain,31,
lumbar radiculopathy,31,
lumbar spondylolysis,31,
lumbar,31,
spondylolysis,31,
Leaky Gut,32,
Mixed connective tissue disease,32,
Cystic fibrosis,32,
Inflammation,32,
Edema,32,
Neural Intestinal Dysplasia,32,
Undifferentiated Connective Tissue Disease,32,
Pulmonary fibrosis,32,
Intestinal Inflammation,32,
intestinal swelling,32,
small intestinal bacterial overgrowth,32,
mucus,32,
Interstitial lung disease,32,
Avascular necrosis,32,
Active Infiltrate in Lungs,32,
Cystic Fibrosis,32,
Blocked tear duct,32,
Muscle Inflammation,32,
mucus (v),32,
Small vessel disease,32,
Plaques,32,
Intestinal dysbiosis,32,
Chronic Intestinal Pseudo Obstruct,32,
adhesions,32,
active bowel,32,
scar tissue,32,
Emphysema,32,
Reactive Airway Disease,32,
excess mucus,32,
intestinal myopathy,32,
Gut Dismotility,32,
lymphatic edema,32,
dysbiosis,32,
Cryptitis,32,
bacterial overgrowth,32,
Lymphoma,33,
Polycythemia vera,33,
Myelofibrosis,33,
Chronic lymphocytic leukemia,33,
Chronic myelogenous leukemia,33,
Essential thrombocythemia,33,
Leukemia,33,
Myelodysplastic syndromes,33,
myelodysplastic syndrome,33,
Hairy cell leukemia,33,
acute lymphoblastic leukemia,33,
Chronic Myeloid Leukemia,33,
pain in left ankle,34,
pain in left leg,34,
Degloving Injury Left Upper Thigh,34,
Right arm pain,34,
right hip pain,34,
Right Knee Pain,34,
Left wrist pain,34,
Left thigh numbness,34,
Left thigh skin itching,34,
left arm pain,34,
Left hip pain,34,
right shoulder pain,34,
Right ovary pain,34,
right SI joint pain,34,
right wrist pain,34,
Right Headache,34,
right rib pain,34,
left leg pain,34,
Left shoulder pain,34,
Left Side Pain,34,
Sore Right Foot,34,
Left Leg Numbness,34,
right toe,34,
left foot,34,
Right shoulder tightness and burning,34,
left back pain,34,
left foot pain,34,
right foot pain,34,
left knee pain,34,
chest pain left side,34,
facial tightness left side,34,
upper left abdominal pain,34,
lower left abdominal pain,34,
right side pain,34,
Right & Left Hip Pain,34,
Right Wrist/Hand Pain,34,
Right Leg Pain,34,
Left heel & ankle pain,34,
right forearm pain,34,
left forearm pain,34,
Left Lower Quadrant Abdominal Pain,34,
Left Upper Quadrant Abdominal Pain,34,
right hip tightness,34,
Left thigh pain,34,
wrist pain right,34,
wrist Left,34,
left sided pains,34,
lower rib pain left side,34,
left facial numbness,34,
right elbow pain,34,
left anterior shoulder pain,34,
Left thumb pain,34,
right hip stiffness,34,
knee pain left,34,
sciatica left leg,34,
right side stomach pain,34,
Left ankle pain,34,
right kidney pain,34,
sore right shoulder,34,
right ankle pain,34,
left side abdominal pain,34,
left ankle instability,34,
right neck and shoulder pain,34,
leg swelling,34,
left foot pain unusual,34,
Wrist right,34,
numbness left foot,34,
numbness in right foot,34,
Severe Left Sided Iliac Fossa Pain,34,
Anemia,35,
Pernicious Anemia,35,
Sickle cell anemia,35,
lymphopenia,35,
hypogammaglobulinemia,35,
chronic neutropenia,35,
Thalassemia,35,
Thrombocytopenia,35,
anaemia,35,
autoimmune hemolytic anemia,35,
cyclic neutropenia,35,
Encephalopathy,35,
Aplastic anemia,35,
neutropenia,35,
Alpha-thalassemia,35,
Lymphocytosis,35,
Extreme Anemia,35,
Dry eyes,36,
Astigmatism,36,
Visual snow,36,
dry eyes,36,
Aphakia,36,
Glaucoma,36,
blurry vision,36,
Eye floaters,36,
Blurred Vision,36,
eye bulging,36,
blurred vision no migraine,36,
Drusen of Optic Disc,36,
chronic dry eyes,36,
blind,36,
severe eye dryness,36,
Double Vision,36,
eye pressure,36,
Eye movement,36,
red eyes,36,
eye twitching,36,
Keratoconus,36,
eye tremor,36,
visual floaters,36,
eye weakness,36,
Vision,36,
vision problems,36,
Eye rolling,36,
blurriness and dry eyes,36,
Retinal Migraine,36,
brain blinks,36,
eye senstivity,36,
scintillating scotoma,36,
Vision loss,36,
Floating eye spots,36,
Blacked Out Vision,36,
vision changes,36,
pressure eyes,36,
Eye Strain,36,
Red watery eyes,36,
gritty eyes,36,
red eye,36,
disrupted vision,36,
unfocused eyes,36,
eye irritation,36,
pulsating eyes,36,
glaucoma suspect,36,
Mast Cell Activation Syndrome,37,
Adult ADD,37,
lack of appetite,37,
Low energy,37,
very,37,
Low sex drive,37,
very active,37,
Stretch marks,37,
alpha wave intrusion,37,
Multiple Trigger Points,37,
Light Sensitivity,37,
stressed,37,
Energy,37,
Period,37,
histamine response,37,
weight loss,37,
Rapid heartbeat,37,
weight gain,37,
Earwax blockage,37,
weak,37,
MS,37,
Sensitive skin on back,37,
body focused repetitive behavior,37,
Multiple s,37,
Work Stress,37,
Wireless Reaction,37,
digestion,37,
not much,37,
Nicotine dependence,37,
Overall,37,
Multiple Chemical Sensitivity,37,
skin sensitivity,37,
concentration,37,
immune suppression,37,
Sensitivity to Sun,37,
Craving protein,37,
lack of temp co,37,
hormone spike,37,
short term memory loss,37,
just general poorly,37,
Weight,37,
Energy levels,37,
Egg Intolerant,37,
Activity,37,
Rest,37,
Mass Cell Activation Syndrome,37,
Double Ear Infection,37,
Viral Pink Eye,37,
Moles,37,
Spontaneous CSF Leak,37,
chemical brain damage,37,
Mitochondrial Complex IV,37,
not active,37,
poor concentration,37,
loss of appetite,37,
loos weight,37,
Estrogen Dominance,37,
Poor Digestion,37,
Poor Self Image,37,
Sensory sensitivity,37,
Very Poor Activity,37,
word finding,37,
No Energy,37,
other,37,
Over work,37,
Week of cycle,37,
Have a Cold,37,
Point of Tears,37,
loss of focus,37,
ADD,37,
hard to vagal,37,
Acid Taste,37,
dissociation,37,
Sound sensitivity,37,
bonemarrow trans,37,
lack of concentration,37,
none,37,
Mast cell activation,37,
mass cell activation syndrom,37,
